message_id,generation,num_children,audio,chain_id,parent_id,game_name,chain_name,message_name
526,6,1,between-category-game-a/heeh/gen-6_xpEiCuI.wav,1,280.0,between-category-game-a,heeh,gen-6_xpEiCuI.wav
417,7,0,between-category-game-a/heeh/gen-7.wav,1,326.0,between-category-game-a,heeh,gen-7.wav
515,7,1,between-category-game-a/heeh/gen-7_36TyKeW.wav,1,313.0,between-category-game-a,heeh,gen-7_36TyKeW.wav
500,7,1,between-category-game-a/heeh/gen-7_NCt3I4g.wav,1,386.0,between-category-game-a,heeh,gen-7_NCt3I4g.wav
481,7,1,between-category-game-a/heeh/gen-7_U5HIQiF.wav,1,463.0,between-category-game-a,heeh,gen-7_U5HIQiF.wav
429,7,0,between-category-game-a/heeh/gen-7_astQWPt.wav,1,373.0,between-category-game-a,heeh,gen-7_astQWPt.wav
457,8,0,between-category-game-a/heeh/gen-8.wav,1,429.0,between-category-game-a,heeh,gen-8.wav
503,8,1,between-category-game-a/heeh/gen-8_tDwl1Dk.wav,1,417.0,between-category-game-a,heeh,gen-8_tDwl1Dk.wav
478,9,1,between-category-game-a/heeh/gen-9.wav,1,457.0,between-category-game-a,heeh,gen-9.wav
1,0,0,between-category-game-a/heeh/seed.wav,1,,between-category-game-a,heeh,seed.wav
12,1,0,between-category-game-a/riri/gen-1.wav,2,2.0,between-category-game-a,riri,gen-1.wav
476,10,1,between-category-game-a/riri/gen-10.wav,2,451.0,between-category-game-a,riri,gen-10.wav
465,1,1,between-category-game-a/riri/gen-1_UM6mnUu.wav,2,2.0,between-category-game-a,riri,gen-1_UM6mnUu.wav
75,1,0,between-category-game-a/riri/gen-1_WlUl6MF.wav,2,2.0,between-category-game-a,riri,gen-1_WlUl6MF.wav
59,1,0,between-category-game-a/riri/gen-1_vDfIDG2.wav,2,2.0,between-category-game-a,riri,gen-1_vDfIDG2.wav
16,2,0,between-category-game-a/riri/gen-2.wav,2,12.0,between-category-game-a,riri,gen-2.wav
46,2,0,between-category-game-a/riri/gen-2_3GyY0VL.wav,2,12.0,between-category-game-a,riri,gen-2_3GyY0VL.wav
22,2,0,between-category-game-a/riri/gen-2_5SHkxuV.wav,2,12.0,between-category-game-a,riri,gen-2_5SHkxuV.wav
93,2,0,between-category-game-a/riri/gen-2_753CmhZ.wav,2,12.0,between-category-game-a,riri,gen-2_753CmhZ.wav
118,2,0,between-category-game-a/riri/gen-2_wZ7H42T.wav,2,12.0,between-category-game-a,riri,gen-2_wZ7H42T.wav
17,3,0,between-category-game-a/riri/gen-3.wav,2,16.0,between-category-game-a,riri,gen-3.wav
34,3,0,between-category-game-a/riri/gen-3_BjSiawE.wav,2,22.0,between-category-game-a,riri,gen-3_BjSiawE.wav
95,3,0,between-category-game-a/riri/gen-3_ZIUgPJY.wav,2,22.0,between-category-game-a,riri,gen-3_ZIUgPJY.wav
81,3,0,between-category-game-a/riri/gen-3_ZYT0o5u.wav,2,16.0,between-category-game-a,riri,gen-3_ZYT0o5u.wav
54,3,0,between-category-game-a/riri/gen-3_cKq6POO.wav,2,46.0,between-category-game-a,riri,gen-3_cKq6POO.wav
50,3,0,between-category-game-a/riri/gen-3_mVF4pAZ.wav,2,22.0,between-category-game-a,riri,gen-3_mVF4pAZ.wav
31,3,0,between-category-game-a/riri/gen-3_z2peihs.wav,2,16.0,between-category-game-a,riri,gen-3_z2peihs.wav
27,4,0,between-category-game-a/riri/gen-4.wav,2,17.0,between-category-game-a,riri,gen-4.wav
110,4,0,between-category-game-a/riri/gen-4_BI1wxum.wav,2,31.0,between-category-game-a,riri,gen-4_BI1wxum.wav
68,4,0,between-category-game-a/riri/gen-4_M0g5Y8O.wav,2,54.0,between-category-game-a,riri,gen-4_M0g5Y8O.wav
121,4,0,between-category-game-a/riri/gen-4_MQytpIG.wav,2,34.0,between-category-game-a,riri,gen-4_MQytpIG.wav
64,4,0,between-category-game-a/riri/gen-4_NHiOoqJ.wav,2,54.0,between-category-game-a,riri,gen-4_NHiOoqJ.wav
38,4,0,between-category-game-a/riri/gen-4_NV1riT1.wav,2,17.0,between-category-game-a,riri,gen-4_NV1riT1.wav
120,4,0,between-category-game-a/riri/gen-4_VOaW3d2.wav,2,81.0,between-category-game-a,riri,gen-4_VOaW3d2.wav
105,4,0,between-category-game-a/riri/gen-4_fF3tLsv.wav,2,31.0,between-category-game-a,riri,gen-4_fF3tLsv.wav
87,4,0,between-category-game-a/riri/gen-4_kiuvLel.wav,2,54.0,between-category-game-a,riri,gen-4_kiuvLel.wav
70,4,1,between-category-game-a/riri/gen-4_yziPxCA.wav,2,50.0,between-category-game-a,riri,gen-4_yziPxCA.wav
43,5,0,between-category-game-a/riri/gen-5.wav,2,27.0,between-category-game-a,riri,gen-5.wav
404,5,0,between-category-game-a/riri/gen-5_0ba5DEY.wav,2,105.0,between-category-game-a,riri,gen-5_0ba5DEY.wav
286,5,1,between-category-game-a/riri/gen-5_4YULtZA.wav,2,121.0,between-category-game-a,riri,gen-5_4YULtZA.wav
282,5,0,between-category-game-a/riri/gen-5_9ILD8Oy.wav,2,87.0,between-category-game-a,riri,gen-5_9ILD8Oy.wav
125,5,0,between-category-game-a/riri/gen-5_EQiu99p.wav,2,38.0,between-category-game-a,riri,gen-5_EQiu99p.wav
328,5,0,between-category-game-a/riri/gen-5_G9qSzjq.wav,2,110.0,between-category-game-a,riri,gen-5_G9qSzjq.wav
113,5,0,between-category-game-a/riri/gen-5_HZSWAjw.wav,2,27.0,between-category-game-a,riri,gen-5_HZSWAjw.wav
455,5,0,between-category-game-a/riri/gen-5_Lc1QOiW.wav,2,38.0,between-category-game-a,riri,gen-5_Lc1QOiW.wav
498,5,0,between-category-game-a/riri/gen-5_QPx2vVO.wav,2,68.0,between-category-game-a,riri,gen-5_QPx2vVO.wav
130,5,0,between-category-game-a/riri/gen-5_RaxT05N.wav,2,38.0,between-category-game-a,riri,gen-5_RaxT05N.wav
137,5,0,between-category-game-a/riri/gen-5_XpaK0G4.wav,2,64.0,between-category-game-a,riri,gen-5_XpaK0G4.wav
84,5,1,between-category-game-a/riri/gen-5_fwcWzfA.wav,2,68.0,between-category-game-a,riri,gen-5_fwcWzfA.wav
126,5,1,between-category-game-a/riri/gen-5_iEm3fEw.wav,2,120.0,between-category-game-a,riri,gen-5_iEm3fEw.wav
340,5,0,between-category-game-a/riri/gen-5_uUAR56G.wav,2,27.0,between-category-game-a,riri,gen-5_uUAR56G.wav
316,5,0,between-category-game-a/riri/gen-5_vOTMxoN.wav,2,64.0,between-category-game-a,riri,gen-5_vOTMxoN.wav
101,6,0,between-category-game-a/riri/gen-6.wav,2,43.0,between-category-game-a,riri,gen-6.wav
300,6,0,between-category-game-a/riri/gen-6_4m0Mtcu.wav,2,113.0,between-category-game-a,riri,gen-6_4m0Mtcu.wav
363,6,0,between-category-game-a/riri/gen-6_LzYFwHB.wav,2,43.0,between-category-game-a,riri,gen-6_LzYFwHB.wav
502,6,0,between-category-game-a/riri/gen-6_SRXtMYo.wav,2,340.0,between-category-game-a,riri,gen-6_SRXtMYo.wav
